id,text,misogynous,misogynous_pred
5006,"@Fedoc5 in ginocchio con te che comandi il ritmo del pompino e decidi quando sborrarmi in gola, perchè un pompino deve sempre finire con l'ingoio",0,1
5015,La cosa del filo del telefono attorno alla gola è presa da una lite di Stefanie e Brooke in Beautiful#chilhavisto,0,1
5019,mi è entrato un insetto in gola mentre camminavo,0,1
5051,mamma tranquilla che non sono l’unica 20enne che non sa cosa cazzo deve fare della sua vita chill che è già bello che non mi sia sparata in gola anni fa,0,1
5068,Dobbiamo infilare una pillola in gola ad hoshi &#x1f63e;,0,1
5110,@diegozegers ce l’ho proprio in gola tra poco arriva,0,1
5185,Sento il piantino in golaNon scherzo,0,1
5206,"sento una musica ogni volta che ti sto accanto, quando ti perdo e poi ci ripenso come se fosse la fine del mondo, no non avere paura quando vai a dormire sola, se la stanza sembra vuota e se senti il cuore in gola, non avere paura mi prenderò cura io di te.#CMSSEXCHANGE",0,1
5243,Fantastica quella da cui sono andata una settimana fa ed ha collegato il mio mal di gola che non passa allo stomaco. Gente che si crede stocazzo perché laureata in medicina e ne sa quanto (se non di meno) mio nonno che faceva il bidello.,0,1
5275,@lizzyfragola @pazzo_per ...questo si...e' un bel tronchetto della felicita'....un bel missile..terra...culo...che sberla!!!!!!!!!!,0,1
5445,Il mio cuore in gola riconoscerà il tuo viso tra la folla.,0,1
5478,"@IlMici8 Meglio, che se t'addormenti ti si ripropone tutto in gola e l'acido cloridrico brucia maledettamente... il pecorino associato al gelato è micidiale!",0,1
5504,mi sono sentita le budella in gola solo vedendo il video,0,1
5593,"@bertynta Anche quelle mi si bloccano in gola, inizio a pensare sia la mia trachea",0,1
5634,"@giuliaisacting È che ... cavolo!!!.... sarà pure falso ma, la mano cazzo la manoooo!!! Mi impressiona sempre un botto sta scena! Sembra si metta davvero la mano in gola mammaaaaaaaaaa",0,1
5705,"distrutto tutto. Per poi comprare a prezzi da svendita.L'Italia faceva gola. Dovremo toccare il fondo prima di risalire.Ma la pulizia del deep state italiano, che ha tradito la nostra COSTITUZIONE e il nostro POPOLO, è in arrivo.",0,1
5815,"@senzailmiocory mi sento un groppo in gola assurdo, ti sono vicina&#x2764;️",0,1
5836,Perché non gli é andata ancora una spina in gola?#circozzi,0,1
5838,ma sta cosa che la maggior parte dei locals non ricambiano il follow mi sta lí in gola #tiziaparty,0,1
5853,@DottorWatson @radiosilvana Il sospetto del Buzzurro?? Ma se lo metta nel culo il suo sospetto brutto schifoso che gli arrivi fino in gola. Lui ha il sospetto. Brutto schifoso ignorante. IN GALERA!!!,0,1
5871,"209 miliardi di Euro da spendere in Italia per l'Italia.Una cifra enorme,che fa gola a tutti.E niente,presto in parlamento vedremo i passamontagna al posto delle mascherine!! #lockdown #Carabinieri #Paragone",0,1
5918,madonna se i oneus droppano l'album io mi sparo in gola capite,0,1
5958,"ALISSA BUSTAMANTINel 2009 assassinò la vicina di casa Elizabeth holden.La bambina di soli 9 anni stava tornando a casa dalla scuola (abitavano nel Missouri, USA), quando Alissa la rapì, l'accoltellò e le tagliagliò la gola, per poi sotterrarla in una fossa pre-scavata",0,1
5983,"Siamo passati ad una cifra... -9, il cuore in gola e già tremo dall’emozione. &#x1f3e1;&#x1f468;&#x200d;&#x1f469;&#x200d;&#x1f466;",0,1
